iter	MultiClass
0	1.587147911
1	1.447860181
2	1.333725862
3	1.267359711
4	1.18647634
5	1.129619181
6	1.068475025
7	1.034042607
8	0.9996080018
9	0.9690238468
10	0.9433929555
11	0.9306245604
12	0.9074164896
13	0.8809947289
14	0.8623157761
15	0.8488258469
16	0.8289841786
17	0.8088958585
18	0.7957400495
19	0.7852808849
20	0.7761035293
21	0.7652542183
22	0.7573612105
23	0.7435240213
24	0.7317872661
25	0.7210523771
26	0.7128094522
27	0.6982745657
28	0.6856270605
29	0.6783013706
30	0.6677465764
31	0.6588471153
32	0.6495481571
33	0.6428721273
34	0.6385949668
35	0.6305921453
36	0.6271603135
37	0.622789069
38	0.6143940723
39	0.60740508
40	0.5996932924
41	0.5889158596
42	0.5835975338
43	0.5778759752
44	0.5711608254
45	0.5674515877
46	0.5624161912
47	0.5566242369
48	0.5511692825
49	0.5449365564
50	0.5404629589
51	0.5353858618
52	0.5295415597
53	0.527276175
54	0.5243437435
55	0.5173822309
56	0.5156052905
57	0.5124871584
58	0.5084315298
59	0.5026090491
60	0.498798264
61	0.4979309761
62	0.493945336
63	0.4903969567
64	0.4884766211
65	0.4845125547
66	0.481287939
67	0.4785938182
68	0.4760252478
69	0.4742894719
70	0.4704608012
71	0.4636991187
72	0.4599190787
73	0.4560079296
74	0.4536734192
75	0.4496016904
76	0.4445869816
77	0.4406714284
78	0.4386062146
79	0.4361382301
80	0.4345187943
81	0.4331367336
82	0.4316222511
83	0.4278615218
84	0.4255218898
85	0.4232053923
86	0.4182826717
87	0.4152502111
88	0.4124034627
89	0.41027231
90	0.4094943891
91	0.4061985902
92	0.404713486
93	0.4030464297
94	0.4021469201
95	0.3987982009
96	0.3959339584
97	0.3934532066
98	0.3906222295
99	0.3893653372
100	0.3871153709
101	0.3843424085
102	0.3819549011
103	0.3797942832
104	0.3779137843
105	0.375797702
106	0.3740008466
107	0.3727306037
108	0.3717646234
109	0.3698453836
110	0.3684740302
111	0.3669144979
112	0.3657231969
113	0.3649535359
114	0.3612542827
115	0.3597981123
116	0.3579075547
117	0.3536058119
118	0.3506668277
119	0.3485756684
120	0.346856126
121	0.3452951681
122	0.3429982296
123	0.3424116598
124	0.3409518839
125	0.3395633742
126	0.3381208246
127	0.3362613825
128	0.3349114634
129	0.3333200496
130	0.332405065
131	0.3308680602
132	0.3301513712
133	0.3288240069
134	0.3267211526
135	0.3245569648
136	0.323033348
137	0.3219250392
138	0.3211370333
139	0.3204305679
140	0.3188081224
141	0.3171438274
142	0.3161635824
143	0.3149903578
144	0.3141338321
145	0.3129652208
146	0.3113099507
147	0.3095747262
148	0.3082527088
149	0.3075856933
150	0.3064073146
151	0.3058262447
152	0.3050159418
153	0.3043434787
154	0.3036165657
155	0.302754956
156	0.3016169139
157	0.2995990932
158	0.2974261318
159	0.2964122829
160	0.2955379809
161	0.2946527786
162	0.2936165163
163	0.2918511831
164	0.2896620416
165	0.2885013308
166	0.2869950945
167	0.2856631488
168	0.2848546902
169	0.2829273237
170	0.2808000566
171	0.2801203273
172	0.2791747394
173	0.2784934429
174	0.2777783953
175	0.2766242157
176	0.2752384837
177	0.2742092564
178	0.2732921231
179	0.2722414676
180	0.2713145059
181	0.2711034155
182	0.2703983951
183	0.2693886023
184	0.2679041633
185	0.2669425637
186	0.265203216
187	0.2645074875
188	0.2637604445
189	0.262970398
190	0.2608907267
191	0.2599072849
192	0.2594948282
193	0.2586843379
194	0.2575733466
195	0.2568408989
196	0.2562705568
197	0.2557489625
198	0.2550114938
199	0.2537872488
200	0.2527098183
201	0.2516858055
202	0.2508389751
203	0.2496941611
204	0.2476770777
205	0.2470049485
206	0.2459446795
207	0.2450451362
208	0.2444116124
209	0.2435026642
210	0.2427134064
211	0.2412585044
212	0.240646087
213	0.2400644488
214	0.2389198373
215	0.2372338161
216	0.2359885321
217	0.2354615477
218	0.2349984721
219	0.2343832265
220	0.2334876598
221	0.2325674826
222	0.2321570816
223	0.2304307267
224	0.2292760524
225	0.2285489416
226	0.2276576737
227	0.2267748294
228	0.226355651
229	0.2253753931
230	0.2247677092
231	0.2241031919
232	0.2235726652
233	0.2219218776
234	0.2212987535
235	0.2200417156
236	0.2188798511
237	0.2184800239
238	0.2179273073
239	0.2173538173
240	0.216097443
241	0.2157338192
242	0.2150991214
243	0.2139171382
244	0.2132865732
245	0.21193585
246	0.2114500455
247	0.2106684752
248	0.2102846141
249	0.2092289756
250	0.2084391613
251	0.2077339034
252	0.2069100508
253	0.2062614214
254	0.2057340004
255	0.2047079732
256	0.2042030468
257	0.2036286103
258	0.2030834649
259	0.2021442005
260	0.2016003597
261	0.20081085
262	0.1999777602
263	0.1994988045
264	0.1988839662
265	0.1982683904
266	0.1975999317
267	0.1969632002
268	0.1962322124
269	0.1956649761
270	0.1951542133
271	0.1948278464
272	0.1942589282
273	0.1938793779
274	0.1935202342
275	0.1926406027
276	0.1921011568
277	0.1916016741
278	0.1913767781
279	0.1908033411
280	0.1904309494
281	0.1898386782
282	0.1890067421
283	0.1883700007
284	0.1877716622
285	0.1870360235
286	0.1865664061
287	0.1862532502
288	0.1858699771
289	0.1852891238
290	0.1846627135
291	0.1841030619
292	0.1838387369
293	0.1833633226
294	0.1826810246
295	0.1820697082
296	0.1815129952
297	0.1809244884
298	0.180702723
299	0.1803475179
300	0.1797109026
301	0.1793146698
302	0.1790007061
303	0.1783567962
304	0.1777308218
305	0.177330704
306	0.1768505699
307	0.1758955145
308	0.1753909433
309	0.1748223915
310	0.1742962975
311	0.1740826601
312	0.1736204762
313	0.1730157413
314	0.1726416618
315	0.1721961494
316	0.1717771557
317	0.1712622074
318	0.1708828963
319	0.1702932583
320	0.1697511065
321	0.1694450585
322	0.168559214
323	0.1681088177
324	0.1671207907
325	0.1666204823
326	0.1663376999
327	0.1661179327
328	0.1656631052
329	0.1651240467
330	0.1643868178
331	0.1639180691
332	0.1631997472
333	0.1627896175
334	0.1621222603
335	0.1614542818
336	0.1610881449
337	0.1606482547
338	0.1602025445
339	0.159969046
340	0.1595691771
341	0.1592835144
342	0.1590097497
343	0.1587974646
344	0.1582980076
345	0.1580691196
346	0.1577031343
347	0.1573424138
348	0.15703146
349	0.1567863192
350	0.1565645144
351	0.1560160889
352	0.1554046586
353	0.1549621664
354	0.1546189259
355	0.1542297416
356	0.1538093905
357	0.1534237629
358	0.1530900212
359	0.1529082397
360	0.1520299238
361	0.1517444439
362	0.1514684767
363	0.1510704489
364	0.1507067586
365	0.1505735639
366	0.150319017
367	0.1498675029
368	0.149534812
369	0.1493216105
370	0.1490781763
371	0.1486844407
372	0.1483539695
373	0.148085634
374	0.1476849967
375	0.1474582372
376	0.147292495
377	0.1467743798
378	0.1464659564
379	0.1460473467
380	0.1454373542
