iter	Passed	Remaining
0	17	17626
1	31	15936
2	43	14455
3	54	13650
4	68	13621
5	86	14373
6	100	14216
7	112	13947
8	123	13595
9	135	13388
10	147	13258
11	158	13075
12	170	12947
13	182	12847
14	194	12739
15	206	12718
16	219	12711
17	233	12717
18	246	12708
19	260	12779
20	273	12770
21	288	12837
22	301	12821
23	316	12863
24	330	12893
25	344	12890
26	357	12884
27	370	12862
28	385	12897
29	398	12893
30	413	12927
31	427	12934
32	439	12879
33	451	12818
34	462	12754
35	473	12688
36	485	12626
37	496	12570
38	508	12518
39	520	12493
40	532	12450
41	544	12412
42	555	12354
43	565	12295
44	577	12249
45	588	12197
46	599	12164
47	611	12132
48	623	12095
49	634	12054
50	645	12014
51	657	11989
52	668	11949
53	679	11904
54	690	11866
55	702	11836
56	713	11799
57	724	11770
58	736	11746
59	747	11714
60	758	11676
61	768	11627
62	779	11594
63	790	11557
64	800	11521
65	811	11485
66	822	11456
67	833	11429
68	844	11396
69	855	11371
70	866	11340
71	879	11340
72	894	11354
73	904	11324
74	915	11292
75	926	11268
76	937	11241
77	949	11218
78	959	11187
79	970	11158
80	981	11133
81	992	11112
82	1004	11099
83	1016	11084
84	1027	11063
85	1038	11034
86	1049	11009
87	1060	10993
88	1071	10971
89	1082	10948
90	1095	10939
91	1106	10920
92	1117	10902
93	1129	10883
94	1140	10862
95	1151	10845
96	1162	10826
97	1173	10804
98	1185	10786
99	1196	10772
100	1208	10754
101	1219	10733
102	1230	10716
103	1241	10697
104	1252	10677
105	1263	10654
106	1273	10631
107	1284	10613
108	1295	10589
109	1306	10570
110	1317	10552
111	1328	10533
112	1339	10512
113	1349	10491
114	1360	10473
115	1371	10454
116	1382	10437
117	1394	10422
118	1405	10404
119	1416	10390
120	1428	10374
121	1439	10360
122	1450	10344
123	1461	10324
124	1472	10307
125	1483	10288
126	1494	10270
127	1504	10251
128	1515	10234
129	1526	10216
130	1537	10199
131	1548	10182
132	1558	10162
133	1569	10146
134	1581	10133
135	1592	10116
136	1603	10099
137	1614	10084
138	1625	10069
139	1636	10053
140	1647	10037
141	1659	10025
142	1669	10007
143	1680	9989
144	1691	9971
145	1701	9954
146	1712	9937
147	1724	9927
148	1735	9913
149	1746	9894
150	1756	9878
151	1767	9862
152	1778	9844
153	1789	9828
154	1800	9814
155	1811	9798
156	1821	9781
157	1833	9771
158	1845	9758
159	1856	9744
160	1866	9728
161	1877	9713
162	1888	9698
163	1899	9683
164	1910	9670
165	1921	9654
166	1933	9642
167	1944	9630
168	1955	9616
169	1967	9603
170	1978	9590
